latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum,link,full reference,the_geom,created_at,updated_at,cartodb_id
50.881884,-0.83574767,West Stoke,Sussex,Cremation Cemetery,5,0,5th to 6th c,Smith 1870,Unknown Location,,,0101000020E61000006176CBE571BEEABFCE6E2D93E1704940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,247
52.641107,1.290132,Norwich,Norfolk,Cremation Cemetery,3,0,6th c,Smith 1901,Unknown Location,,,0101000020E6100000815EB87361A4F43F4B1E4FCB0F524A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,168
52.30231,-0.90152324,Pitsford,Northamptonshire,Cremation Cemetery,14,0,5th to 6th c,Smith 1902; George 1904,Unknown Location,,,0101000020E610000064490C4447D9ECBF7BA01518B2264A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,173
52.300231,0.68681074,Culford,Suffolk,Cremation Cemetery,0,0,5th c,Smith 1911,Unknown Location,,,0101000020E61000000DEE5A845AFAE53F681F2BF86D264A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,75
52.544988,1.3817736,Brooke,Norfolk,Cremation Cemetery,2,0,6th c,Smith 1923,Unknown Location,,,0101000020E6100000759E67A2BE1BF63F315BB22AC2454A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,43
52.229893,-0.26197627,St. Neots,Huntingdonshire,Cremation Cemetery,1,0,5th to 6th c,Smith 1926,Unknown Location,,,0101000020E6100000A298FE1D38C4D0BF274A42226D1D4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,214
52.434865,0.99662745,Kenninghall II,Norfolk,Cremation Cemetery,2,0,Unknown,Smith 1964,Unknown Location,,,0101000020E6100000CF7701405FE4EF3F689604A8A9374A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,129
53.155874,0.026466122,Hall Hill,Lincolnshire,Cremation Cemetery,200,0,Late 5th to 6th c,Thompson 1956,Unknown Location,,,0101000020E6100000868DC461EF199B3FFA25E2ADF3934A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,111
53.330542,-0.21455746,South Willingham,Lincolnshire,Cremation Cemetery,4,0,5th to 6th c,Trollope 1856,Unknown Location,,,0101000020E6100000C10AE86C9E76CBBF2BFA43334FAA4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,208
52.709612,-0.35991717,Baston,Lincolnshire,Cremation Cemetery,54,0,Mid-5th to Late 6th c,Trollope 1863; Mayes and Dean 1976; Field 1989b; Williams 2002,Unknown Location,,,0101000020E6100000CECE9A06E208D7BFB16CE690D45A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,18
50.964577,-0.19568863,Twineham,Sussex,Cremation Cemetery,1,0,5th to 6th c,Turner 1867,Unknown Location,,,0101000020E610000017470635530CC9BFA5BC5642777B4940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,237
52.883883,0.98589227,Bale,Norfolk,Cremation Cemetery,0,0,5th to 6th c,Unpublished,Unknown Location,,,0101000020E610000039EF20F26D8CEF3FC43E011423714A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,15
52.383971,-0.70848959,Barton Seagrave,Northamptonshire,Cremation Cemetery,2,0,5th to 6th c,Unpublished,Unknown Location,,,0101000020E61000000768535CF2ABE6BF64CE33F625314A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,16
52.76102,-1.6976559,Barton-under-Needwood,Staffordshire,Cremation Cemetery,2,0,5th to 6th c,Unpublished,Unknown Location,,,0101000020E61000007CC8A53B9929FBBF0CCD751A69614A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,17
50.849085,-0.11491098,Bates Nursery Estate,Sussex,Cremation Cemetery,1,0,5th to 6th c,Unpublished,Unknown Location,,,0101000020E6100000A8220D55CE6ABDBF184339D1AE6C4940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,19
52.335137,0.99281339,Botesdale,Suffolk,Cremation Cemetery,1,0,6th c,Unpublished,Unknown Location,,,0101000020E6100000AE96229620C5EF3FFC56EBC4E52A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,31
50.739149,-1.8057989,Bournemouth,Hampshire,Cremation Cemetery,1,0,5th to 6th c,Unpublished,Unknown Location,,,0101000020E6100000C4712A638DE4FCBF80EF366F9C5E4940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,32
52.071768,1.0919139,Bramford,Suffolk,Cremation Cemetery,0,0,6th to 7th c,Unpublished,Unknown Location,,,0101000020E6100000D9C3A8B57A78F13F1D739EB12F094A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,34
52.378385,-0.69102309,Burton Latimer,Northamptonshire,Cremation Cemetery,17,0,5th to 6th c,Unpublished,Unknown Location,,,0101000020E610000071968A74DC1CE6BF032670EB6E304A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,51
52.164018,-0.50725307,Clapham,Bedfordshire,Cremation Cemetery,1,0,5th to 6th c,Unpublished,Unknown Location,,,0101000020E610000058424ECA6A3BE0BF48FAB48AFE144A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,65
54.206113,-0.79491941,Costa,Yorkshire,Cremation Cemetery,2,0,Unknown,Unpublished,Unknown Location,,,0101000020E6100000CDFA9CD4FA6FE9BFE62329E9611A4B40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,71
52.843597,0.51233601,Dersingham,Norfolk,Cremation Cemetery,0,0,6th c,Unpublished,Unknown Location,,,0101000020E61000008D6BF07C0E65E03F7A008BFCFA6B4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,76
52.349485,0.77350193,Fakenham Heath,Suffolk,Cremation Cemetery,0,0,5th to 6th c,Unpublished,Unknown Location,,,0101000020E6100000AFC5971E87C0E83FA6B8AAECBB2C4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,95
52.482255,0.97186199,Hargham,Norfolk,Cremation Cemetery,20,0,5th c,Unpublished,Unknown Location,,,0101000020E6100000B9D0E8507E19EF3F8FAA2688BA3D4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,112
